x,y
87.44633739,94.41401894
7.838148646,99.92789843
76.12706518,55.89788343
86.70937177,91.32006994
94.49674181,46.30049019
47.40828888,73.75619649
35.20410881,91.56750432
80.68909917,98.410031
20.40105046,64.77224902
41.1331821,55.41910766
60.19796402,80.92467188
91.93925699,48.66546098
43.06773525,19.86151929
84.70942434,64.36460521
71.65316915,66.95401952
9.527123145,58.93274995
80.05435503,48.55417254
78.48393858,2.218650773
67.73516593,73.59080217
78.79292631,52.32866399
9.636766334,40.79758349
75.59147873,77.55787807
2.303316964,32.38385136
3.208702871,23.02518021
61.27412298,34.1128923
71.22748554,93.01064953
42.66879738,83.28746256
49.06200049,77.3827643
35.31986779,39.04194781
78.15675005,49.78687253
66.64590479,43.34835492
59.01321684,50.6628551
78.89692561,96.80143513
71.04968793,31.87008382
47.92315102,8.147121251
43.01829577,18.60589
44.53564859,52.76377252
87.90129694,66.08733413
51.90520855,29.65736805
93.40028741,54.56997833
50.82077609,94.77416513
15.15622481,5.066547136
90.44578326,38.59849175
49.63705577,47.81742928
21.3931656,96.92896273
45.98153904,59.76266841
58.25033635,79.74677399
96.50132902,50.70573301
53.25248825,76.41770285
40.39015346,93.5272332
56.26484963,93.21310664
99.19875855,35.66670301
28.67764684,10.2462315
2.733295955,14.59170902
20.20349954,13.83057066
35.53404986,39.06065416
2.594144399,26.392697
33.65172413,54.01993855
64.03587762,85.51418209
41.82155997,3.977214422
63.86110562,83.86378024
31.46391703,26.04767159
36.12264425,35.39647704
49.63071118,18.84086528
39.46645955,26.35595603
98.78120069,33.26042981
52.16436027,80.54675854
12.16589147,34.85482141
38.53313603,56.24314757
47.54274146,13.06269755
39.22534197,78.84441803
56.56272312,65.43975086
61.73038882,93.37073244
75.30858244,7.933678184
72.07843003,79.35034697